seed,target_only_macro_wait_sec,cfcmt_macro_wait_sec,macro_relative_delta,los_angeles_relative_delta,jinan_relative_delta
6180752,148.62482286199446,145.8244828917263,-0.01884167070038108,-0.006935569483172845,-0.043386310499862316
6345095,149.47060188609458,151.5400519304006,0.013845197772623318,0.0351162768388954,-0.030600574589621708
6597627,161.58374795260306,143.54783254725743,-0.111619612949169,-0.13670841988061186,-0.05403707733676061
6719256,152.31545705404758,138.16757451008812,-0.09288540255595489,-0.127627166394121,-0.01633614286017954
6746317,146.10064800554215,141.6804380399065,-0.030254554144537225,-0.02690245442896321,-0.0370339127094618
6781004,147.44564459540578,154.93233112229774,0.05077590828427382,0.08821411260941063,-0.02682033759227498
7102085,146.4913257524808,147.49965588537808,0.006883207095831714,0.018386134224614485,-0.016888070144324287
7250759,145.12637082199802,149.24659713063318,0.02839061078491888,0.06610643660770135,-0.04624306042712265
7370082,146.18756779619244,143.16540983308437,-0.02067315305034294,-0.008391041485165436,-0.04543088994379558
7395062,147.52538829393052,148.0985690537417,0.003885302499046273,0.015506635195353941,-0.020354288379535405
7417817,145.32518362219395,534.1521437884128,2.6755648984904328,4.008001281276267,-0.029940794855775266
7484857,151.23092124514295,143.79185491138477,-0.04919011451169809,-0.05805850012299329,-0.030236858607263852
7602964,156.8908318063384,152.08066131977705,-0.030659347210924975,-0.03616691393909004,-0.01831518479477037
7677617,153.552775587564,139.4712624694987,-0.09170471236474188,-0.12002074606057034,-0.02935477358896496
7705665,145.99935564067493,153.82438964595505,0.05359635986708484,0.0894766076249091,-0.019749466718427814
7949351,146.55957278821649,145.57186800185175,-0.006739271734859635,0.002403292074829281,-0.025441021172412415
7964610,150.3368704486079,153.84402179174546,0.023328617475354935,0.048785389336746775,-0.03074005916279915
8104182,147.95732704275946,147.08364558640469,-0.005904955664022514,0.0037009967976468,-0.025918667145682823
8229658,147.4061826713697,153.49914387133788,0.04133450232241586,0.07272855821494364,-0.02337067532819927
8326174,149.53492547371877,146.93076102115938,-0.017415091787483974,-0.005603677385788418,-0.041851291725277816
8361482,147.2873573214202,152.11910813565373,0.03280492570512606,0.06981322058062321,-0.04345817797598227
8513269,157.65984971285135,168.28229066318625,0.06737568867204763,0.11828029499625853,-0.04664053861726887
8516600,146.28534185955144,151.0406168671039,0.032506845505532574,0.0588392247992722,-0.021762521645802224
8627953,150.8106995646869,145.51767414711978,-0.03509714783397577,-0.03683585053388781,-0.03141802287728959
8649120,148.24167157441244,146.8944540776478,-0.009087981014086068,0.0018795227419912284,-0.03174636264343242
8729267,152.20267344708415,153.54337194557715,0.008808639612753678,0.02674517982437892,-0.029001962098673947
8946784,144.41819489072122,155.44913810425658,0.07638194911577642,0.13040564316713635,-0.031712522255891835
9488138,142.11338596144188,150.9295123389262,0.06203586184257343,0.10662898135209604,-0.025441105353549657
9490277,143.82311041317254,161.0041968236748,0.11945984453503139,0.19362625949606158,-0.028061470355993788
9599129,151.5711208223294,144.8072338259491,-0.04462516975320688,-0.04775305155464768,-0.037946546199458246
